IMPLEMENTED_FUNCTIONS
abs
acos
acosh
add_months
any_value
approx_distinct
approx_median
approx_percentile_cont
approx_percentile_cont_with_weight
array_agg
array_any_value
array_append
array_cat
array_compact
array_concat
array_construct
array_contains
array_dims
array_distance
array_distinct
array_element
array_empty
array_except
array_extract
array_flatten
array_generate_range
array_has
array_has_all
array_has_any
array_indexof
array_insert
array_intersect
array_intersection
array_join
array_length
array_max
array_min
array_ndims
array_pop_back
array_pop_front
array_position
array_positions
array_prepend
array_push_back
array_push_front
array_remove
array_remove_all
array_remove_at
array_remove_n
array_repeat
array_replace
array_replace_all
array_replace_n
array_resize
array_reverse
array_size
array_slice
array_sort
array_to_string
array_union
array_union_agg
array_unique_agg
arrays_overlap
arrays_to_object
arrays_zip
arrow_cast
arrow_typeof
as_array
as_object
ascii
asin
asinh
atan
atan2
atanh
avg
bit_and
bit_length
bit_or
bit_xor
bool_and
bool_or
booland
booland_agg
boolor
boolor_agg
boolxor
boolxor_agg
btrim
cardinality
cbrt
ceil
char_length
character_length
chr
coalesce
concat
concat_ws
conditional_true_event
contains
convert_timezone
corr
cos
cosh
cot
count
covar
covar_pop
covar_samp
cume_dist
current_client
current_database
current_date
current_ip_address
current_role
current_role_type
current_schema
current_schemas
current_session
current_time
current_timestamp
current_version
current_warehouse
date
date_add
date_bin
date_diff
date_format
date_from_parts
date_part
date_trunc
dateadd
datediff
datefromparts
datepart
datetrunc
day
dayname
dayofmonth
dayofweek
dayofweekiso
dayofyear
decode
decrypt_raw
degrees
dense_rank
digest
div0
div0null
element_at
empty
encode
encrypt_raw
ends_with
equal_null
exp
factorial
find_in_set
first_value
flatten
floor
from_unixtime
gcd
generate_range
generate_series
get
get_field
get_ignore_case
get_path
greatest
grouping
grouping_id
hex_decode_binary
hex_decode_string
hex_encode
hour
iff
ifnull
initcap
insert
instr
is_array
is_boolean
is_decimal
is_double
is_integer
is_null_value
is_object
is_real
is_varchar
isnan
iszero
jarowinkler_similarity
json_as_text
json_contains
json_extract_path_text
json_get
json_get_bool
json_get_float
json_get_int
json_get_json
json_get_str
json_keys
json_len
json_length
json_object_keys
lag
last_day
last_query_id
last_value
lcm
lead
least
left
len
length
levenshtein
list_any_value
list_append
list_cat
list_concat
list_contains
list_dims
list_distance
list_distinct
list_element
list_empty
list_except
list_extract
list_has
list_has_all
list_has_any
list_indexof
list_intersect
list_join
list_length
list_max
list_ndims
list_pop_back
list_pop_front
list_position
list_positions
list_prepend
list_push_back
list_push_front
list_remove
list_remove_all
list_remove_n
list_repeat
list_replace
list_replace_all
list_replace_n
list_resize
list_reverse
list_slice
list_sort
list_to_string
list_union
listagg
ln
log
log10
log2
lower
lpad
ltrim
make_array
make_date
make_list
make_object
map
map_extract
map_keys
map_values
max
md5
mean
median
min
minute
month
monthname
named_struct
nanvl
next_day
now
nth_value
ntile
nullif
nullifzero
nvl
nvl2
object_agg
object_construct
object_construct_keep_null
object_delete
object_insert
object_keys
object_pick
octet_length
overlay
parse_ip
parse_json
percent_rank
percentile_cont
pi
position
pow
power
previous_day
quarter
radians
random
randstr
range
rank
regexp_count
regexp_extract_all
regexp_instr
regexp_like
regexp_match
regexp_replace
regexp_substr
regexp_substr_all
regr_avgx
regr_avgy
regr_count
regr_intercept
regr_r2
regr_slope
regr_sxx
regr_sxy
regr_syy
repeat
replace
result_scan
reverse
right
rlike
round
row
row_number
rpad
rtrim
rtrimmed_length
second
sha2
sha224
sha256
sha2_hex
sha384
sha512
signum
sin
sinh
split
split_part
sqrt
starts_with
stddev
stddev_pop
stddev_samp
string_agg
string_to_array
string_to_list
strpos
strtok
strtok_to_array
struct
substr
substr_index
substring
substring_index
sum
system$typeof
tan
tanh
time
time_add
time_diff
time_from_parts
timeadd
timediff
timefromparts
timestamp_add
timestamp_diff
timestamp_from_parts
timestamp_ltz_from_parts
timestamp_ntz_from_parts
timestamp_tz_from_parts
timestampadd
timestampdiff
timestampltzfromparts
timestampntzfromparts
timestamptzfromparts
to_array
to_binary
to_boolean
to_char
to_date
to_decimal
to_hex
to_local_time
to_number
to_numeric
to_object
to_time
to_timestamp
to_timestamp_ltz
to_timestamp_micros
to_timestamp_millis
to_timestamp_nanos
to_timestamp_ntz
to_timestamp_seconds
to_timestamp_tz
to_unixtime
to_varchar
to_variant
today
translate
trim
trunc
try_hex_decode_binary
try_hex_decode_string
try_parse_json
try_to_binary
try_to_boolean
try_to_char
try_to_date
try_to_decimal
try_to_number
try_to_numeric
try_to_time
try_to_timestamp
try_to_timestamp_ltz
try_to_timestamp_ntz
try_to_timestamp_tz
try_to_varchar
typeof
union_extract
upper
uuid
var
var_pop
var_population
var_samp
var_sample
variant_element
version
week
weekiso
weekofyear
year
yearofweek
yearofweekiso
zeroifnull
